Component,Origin,License,Copyright
import,androidx.annotation,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.arch.core,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.asynclayoutinflater,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.autofill,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.car.app,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.collection,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.compose,Apache-2.0,Copyright 2019 The Android Open Source Project
import,androidx.compose.animation,Apache-2.0,Copyright 2019 The Android Open Source Project
import,androidx.compose.foundation,Apache-2.0,Copyright 2019 The Android Open Source Project
import,androidx.compose.material,Apache-2.0,Copyright 2019 The Android Open Source Project
import,androidx.compose.material3,Apache-2.0,Copyright 2019 The Android Open Source Project
import,androidx.compose.runtime,Apache-2.0,Copyright 2019 The Android Open Source Project
import,androidx.compose.ui,Apache-2.0,Copyright 2019 The Android Open Source Project
import,androidx.core,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.databinding,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.emoji2,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.exifinterface,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.leanback,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.lifecycle,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.media,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.multidex,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.navigation3,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.navigationevent,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.preference,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.resourceinspection,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.room,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.sqlite,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.startup,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.swiperefreshlayout,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.tracing,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.versionedparcelable,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.wear,Apache-2.0,Copyright 2018 The Android Open Source Project
import,androidx.work,Apache-2.0,Copyright 2018 The Android Open Source Project
import,com.android.tools.build,Apache-2.0,Copyright (C) 2013 The Android Open Source Project
import,com.android.tools.external.com-intellij,Apache-2.0,Copyright (C) 2013 The Android Open Source Project
import,com.android.tools.external.org-jetbrains,Apache-2.0,Copyright (C) 2013 The Android Open Source Project
import,com.android.tools.layoutlib,Apache-2.0,Copyright (C) 2013 The Android Open Source Project
import,com.android.tools.lint,Apache-2.0,Copyright (C) 2013 The Android Open Source Project
import,com.apollographql.apollo,MIT,"Copyright (c) 2016-2024 Apollo Graph, Inc. (Formerly Meteor Development Group, Inc.)"
import,com.benasher44,MIT,"Copyright (c) 2019 Ben Asher"
import,com.facebook.fresco,MIT,"Copyright (c) Facebook, Inc. and its affiliates"
import,com.facebook.soloader,Apache-2.0,"Copyright (c) Facebook, Inc. and its affiliates"
import,com.facebook.stetho,MIT,"Copyright (c) Facebook, Inc. and its affiliates"
import,com.github.TeamNewPipe,__,"Unknown copyright for artifacts nanojson:1d9e1aea9049fc9f85e68b43ba39fe7be1c1f751"
import,com.github.TeamNewPipe.NewPipeExtractor,AGPL-3.0-only,"2017-2024 NewPipe contributors <https://newpipe.net>"
import,com.github.bumptech.glide,"Simplified BSD License/The Apache Software License, Version 2.0","Unknown copyright for artifacts annotations:4.11.0,glide:4.11.0,gifdecoder:4.11.0,disklrucache:4.11.0,okhttp3-integration:4.11.0"
import,com.google.accompanist,Apache-2.0,Copyright 2018 The Android Open Source Project
import,com.google.android.exoplayer,Apache-2.0,Copyright 2018 The Android Open Source Project
import,com.google.android.gms,"Android Software Development Kit License","Unknown copyright for artifacts play-services-cronet:18.1.1,play-services-base:18.5.0,play-services-basement:18.9.0,play-services-tasks:18.2.0"
